(10080, [0, 0, 0, 0, 12, 22])
(5040, [0, 0, 0, 0, 12, 36])
(10080, [0, 0, 0, 1, 2, 3])
(10080, [0, 0, 0, 1, 2, 4])
(10080, [0, 0, 0, 1, 2, 5])
(10080, [0, 0, 0, 1, 2, 6])
(10080, [0, 0, 0, 1, 2, 8])
(10080, [0, 0, 0, 1, 2, 9])
(10080, [0, 0, 0, 1, 2, 11])
(10080, [0, 0, 0, 1, 2, 13])
(10080, [0, 0, 0, 1, 2, 14])
(10080, [0, 0, 0, 1, 2, 15])
(10080, [0, 0, 0, 1, 2, 16])
(10080, [0, 0, 0, 1, 2, 17])
(10080, [0, 0, 0, 1, 2, 18])
(10080, [0, 0, 0, 1, 2, 20])
(10080, [0, 0, 0, 1, 2, 23])
(10080, [0, 0, 0, 1, 2, 25])
(10080, [0, 0, 0, 1, 2, 27])
(10080, [0, 0, 0, 1, 2, 28])
(10080, [0, 0, 0, 1, 2, 29])
(10080, [0, 0, 0, 1, 2, 30])
(10080, [0, 0, 0, 1, 2, 31])
(10080, [0, 0, 0, 1, 2, 32])
(10080, [0, 0, 0, 1, 2, 33])
(10080, [0, 0, 0, 1, 2, 34])
(10080, [0, 0, 0, 1, 2, 35])
(10080, [0, 0, 0, 1, 2, 36])
(10080, [0, 0, 0, 1, 2, 38])
(10080, [0, 0, 0, 1, 2, 39])
(10080, [0, 0, 0, 1, 2, 41])
(10080, [0, 0, 0, 1, 3, 0])
(10080, [0, 0, 0, 1, 3, 1])
(10080, [0, 0, 0, 1, 3, 2])
(10080, [0, 0, 0, 1, 3, 4])
(10080, [0, 0, 0, 1, 3, 6])
(10080, [0, 0, 0, 1, 3, 7])
(10080, [0, 0, 0, 1, 3, 8])
(10080, [0, 0, 0, 1, 3, 9])
(10080, [0, 0, 0, 1, 3, 10])
(10080, [0, 0, 0, 1, 3, 11])
(10080, [0, 0, 0, 1, 3, 12])
(10080, [0, 0, 0, 1, 3, 13])
(10080, [0, 0, 0, 1, 3, 14])
(10080, [0, 0, 0, 1, 3, 15])
(10080, [0, 0, 0, 1, 3, 18])
(10080, [0, 0, 0, 1, 3, 19])
(10080, [0, 0, 0, 1, 3, 20])
(10080, [0, 0, 0, 1, 3, 21])
(10080, [0, 0, 0, 1, 3, 22])
(10080, [0, 0, 0, 1, 3, 23])
(10080, [0, 0, 0, 1, 3, 25])
(10080, [0, 0, 0, 1, 3, 28])
(10080, [0, 0, 0, 1, 3, 30])
(10080, [0, 0, 0, 1, 3, 32])
(10080, [0, 0, 0, 1, 3, 34])
(10080, [0, 0, 0, 1, 3, 38])
(10080, [0, 0, 0, 1, 3, 39])
(10080, [0, 0, 0, 1, 4, 0])
(10080, [0, 0, 0, 1, 4, 4])
(10080, [0, 0, 0, 1, 4, 6])
(10080, [0, 0, 0, 1, 4, 8])
(10080, [0, 0, 0, 1, 4, 9])
(10080, [0, 0, 0, 1, 4, 10])
(10080, [0, 0, 0, 1, 4, 11])
(10080, [0, 0, 0, 1, 4, 12])
(10080, [0, 0, 0, 1, 4, 13])
(10080, [0, 0, 0, 1, 4, 15])
(10080, [0, 0, 0, 1, 4, 17])
(10080, [0, 0, 0, 1, 4, 18])
(10080, [0, 0, 0, 1, 4, 19])
(10080, [0, 0, 0, 1, 4, 20])
(10080, [0, 0, 0, 1, 4, 22])
(10080, [0, 0, 0, 1, 4, 25])
(10080, [0, 0, 0, 1, 4, 27])
(10080, [0, 0, 0, 1, 4, 29])
(10080, [0, 0, 0, 1, 4, 32])
(10080, [0, 0, 0, 1, 4, 33])
(10080, [0, 0, 0, 1, 4, 34])
(10080, [0, 0, 0, 1, 6, 4])
(10080, [0, 0, 0, 1, 6, 7])
(10080, [0, 0, 0, 1, 6, 8])
(10080, [0, 0, 0, 1, 6, 9])
(10080, [0, 0, 0, 1, 6, 11])
(10080, [0, 0, 0, 1, 6, 12])
(10080, [0, 0, 0, 1, 6, 15])
(10080, [0, 0, 0, 1, 6, 17])
(10080, [0, 0, 0, 1, 6, 18])
(10080, [0, 0, 0, 1, 6, 19])
(10080, [0, 0, 0, 1, 6, 20])
(10080, [0, 0, 0, 1, 6, 22])
(10080, [0, 0, 0, 1, 6, 25])
(10080, [0, 0, 0, 1, 6, 27])
(10080, [0, 0, 0, 1, 6, 29])
(10080, [0, 0, 0, 1, 6, 31])
(10080, [0, 0, 0, 1, 6, 32])
(10080, [0, 0, 0, 1, 6, 34])
(10080, [0, 0, 0, 1, 8, 0])
(10080, [0, 0, 0, 1, 8, 9])
(10080, [0, 0, 0, 1, 8, 10])
(10080, [0, 0, 0, 1, 8, 11])
(10080, [0, 0, 0, 1, 8, 12])
(10080, [0, 0, 0, 1, 8, 15])
(10080, [0, 0, 0, 1, 8, 16])
(10080, [0, 0, 0, 1, 8, 17])
(10080, [0, 0, 0, 1, 8, 19])
(10080, [0, 0, 0, 1, 8, 22])
(10080, [0, 0, 0, 1, 8, 24])
(10080, [0, 0, 0, 1, 8, 25])
(10080, [0, 0, 0, 1, 8, 27])
(10080, [0, 0, 0, 1, 8, 29])
(10080, [0, 0, 0, 1, 8, 30])
(10080, [0, 0, 0, 1, 8, 31])
(10080, [0, 0, 0, 1, 8, 33])
(10080, [0, 0, 0, 1, 8, 34])
(10080, [0, 0, 0, 1, 8, 36])
(10080, [0, 0, 0, 1, 8, 40])
(10080, [0, 0, 0, 1, 9, 0])
(10080, [0, 0, 0, 1, 9, 1])
(10080, [0, 0, 0, 1, 9, 2])
